Date : 2025-08-26 16:23:23
Directory : c:\Users\ashis\quizzy
Total : 184 files,  20958 codes, 512 comments, 3252 blanks, all 24722 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\quizzy\quiz-app\components\ui\pagination.tsx                | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\popover.tsx                   | TypeScript JSX     |         25 |          0 |          7 |         32 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\progress.tsx                  | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\question-form.tsx             | TypeScript JSX     |         80 |          2 |         11 |         93 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\quiz-card.tsx                 | TypeScript JSX     |        231 |          0 |         11 |        242 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\radio-group.tsx               | TypeScript JSX     |         39 |          0 |          6 |         45 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\resizable-navbar.tsx          | TypeScript JSX     |        267 |          1 |         23 |        291 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\resizable.tsx                 | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\result-card.tsx               | TypeScript JSX     |        112 |          1 |         11 |        124 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\scroll-area.tsx               | TypeScript JSX     |         43 |          0 |          6 |         49 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\select.tsx                    | TypeScript JSX     |        146 |          0 |         15 |        161 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\separator.tsx                 | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\sheet.tsx                     | TypeScript JSX     |        126 |          0 |         16 |        142 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\sidebar.tsx                   | TypeScript JSX     |        700 |         11 |         55 |        766 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\skeleton.tsx                  | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\slider.tsx                    | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\sonner.tsx                    | TypeScript JSX     |         26 |          0 |          6 |         32 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\switch.tsx                    | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\table.tsx                     | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\tabs.tsx                      | TypeScript JSX     |         48 |          0 |          8 |         56 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\textarea.tsx                  | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\toast.tsx                     | TypeScript JSX     |        116 |          0 |         14 |        130 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\toaster.tsx                   | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\toggle-group.tsx              | TypeScript JSX     |         52 |          0 |         10 |         62 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\toggle.tsx                    | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\tooltip.tsx                   | TypeScript JSX     |         23 |          0 |          8 |         31 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\use-mobile.tsx                | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\ashis\quizzy\quiz-app\components\ui\use-toast.ts                  | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\ashis\quizzy\quiz-app\hooks\use-mobile.tsx                        | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\ashis\quizzy\quiz-app\hooks\use-toast.ts                          | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\ashis\quizzy\quiz-app\lib\api.ts                                  | TypeScript         |         29 |          0 |          6 |         35 |
| c:\Users\ashis\quizzy\quiz-app\lib\redis.ts                                | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-app\lib\types.ts                                | TypeScript         |         65 |          0 |         11 |         76 |
| c:\Users\ashis\quizzy\quiz-app\lib\utils.ts                                | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\ashis\quizzy\quiz-app\middleware.ts                               | TypeScript         |          8 |         27 |         10 |         45 |
| c:\Users\ashis\quizzy\quiz-app\next.config.mjs                             | JavaScript         |         12 |          1 |          2 |         15 |
| c:\Users\ashis\quizzy\quiz-app\package.json                                | JSON               |         84 |          0 |          0 |         84 |
| c:\Users\ashis\quizzy\quiz-app\pnpm-lock.yaml                              | YAML               |      4,029 |          0 |        912 |      4,941 |
| c:\Users\ashis\quizzy\quiz-app\postcss.config.mjs                          | JavaScript         |          6 |          1 |          2 |          9 |
| c:\Users\ashis\quizzy\quiz-app\public\menu.svg                             | XML                |          3 |          0 |          1 |          4 |
| c:\Users\ashis\quizzy\quiz-app\public\placeholder-logo.svg                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\quizzy\quiz-app\public\placeholder.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\quizzy\quiz-app\store\auth.ts                               | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\ashis\quizzy\quiz-app\styles\globals.css                          | PostCSS            |         93 |          1 |         12 |        106 |
| c:\Users\ashis\quizzy\quiz-app\tailwind.config.ts                          | TypeScript         |        119 |          0 |          3 |        122 |
